Frequency,User,Location,State,County,Last Confirmed,Monitored From,Strength (1-5),Notes,Mode,Licensee,Allocation,Profile,Transmitter Location,URL
154.9500,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
155.0100,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
155.2500,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
155.3700,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
155.4900,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
155.9100,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
156.2100,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
158.9100,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
159.2100,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
453.0375,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
809.9875,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
854.9875,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
154.1300,Flagler County Firefighters Association Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
154.2950,Flagler County Firefighters Association Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
461.6750,Flagler County Heating Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
466.6750,Flagler County Heating Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
463.7625,Flagler Palm Coast High School,,FL,Flagler,,,,,,,,"Flagler County, FL"
464.2125,Flagler Palm Coast High School,,FL,Flagler,,,,,,,,"Flagler County, FL"
462.2500,Greenes Farms Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
467.2500,Greenes Farms Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
35.9400,Knight Jon Boy Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
42.9600,"Logan, Ronald A",,FL,Flagler,,,,,,,,"Flagler County, FL"
153.3050,M & L Timber Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
158.3700,M & L Timber Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
152.0075,Memorial Hospital Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
461.5000,Mobile Communications Of Flagler County Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
461.7750,Mobile Communications Of Flagler County Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
466.5000,Mobile Communications Of Flagler County Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
466.7750,Mobile Communications Of Flagler County Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
152.4500,Rogers Towing & Recovery Service,,FL,Flagler,,,,,,,,"Flagler County, FL"
157.4700,Rogers Towing & Recovery Service,,FL,Flagler,,,,,,,,"Flagler County, FL"
159.3150,National Capitol Park Commission Police Ch. 1,Washington,DC,,,,,,,,,"Frederick, MD"
159.3900,National Capitol Park Commission Police Ch. 4,Washington,DC,,,,,,,,,"Frederick, MD"
33.9400,"Caroll County, MD Fire dispatch simulcast",,MD,Caroll,,,,,,,,"Frederick, MD"
867.1375,"Caroll County, MD TRS",,MD,Caroll,,,,,,,,"Frederick, MD"
867.1875,"Caroll County, MD TRS",,MD,Caroll,,,,,,,,"Frederick, MD"
867.2250,"Caroll County, MD TRS",,MD,Caroll,,,,,,,,"Frederick, MD"
867.3875,"Caroll County, MD TRS",,MD,Caroll,,,,,,,,"Frederick, MD"
867.4250,"Caroll County, MD TRS",,MD,Caroll,,,,,,,,"Frederick, MD"
867.4500,"Caroll County, MD TRS",,MD,Caroll,,,,,,,,"Frederick, MD"
867.4750,"Caroll County, MD TRS",,MD,Caroll,,,,,,,,"Frederick, MD"
867.5000,"Caroll County, MD TRS",,MD,Caroll,,,,,,,,"Frederick, MD"
867.5875,"Caroll County, MD TRS",,MD,Caroll,,,,,,,,"Frederick, MD"
867.9375,"Caroll County, MD TRS",,MD,Caroll,,,,,,,,"Frederick, MD"
36.0500,US Army Base Ft. Detrick Operations,Frederick,MD,Frederick,,,,,,,,"Frederick, MD"
37.4200,Gambrills State Park,,MD,Frederick,,,,,,,,"Frederick, MD"
39.0200,"Frederick County, MD Sheriff",,MD,Frederick,,,,,,,,"Frederick, MD"
45.2000,"Frederick County, MD LG",,MD,Frederick,,,,,,,,"Frederick, MD"
46.2400,"Frederick County, MD Fire Ch. 3 - Fireground",,MD,Frederick,,,,,,,,"Frederick, MD"
46.3400,"Frederick County, MD Fire Ch. 2 - Dispatch",,MD,Frederick,,,,,,,,"Frederick, MD"
